Batsman,Bowler,Batsman Points,Bowler Points
TM Dilshan,L Balaji,3.6666666666666665,-3.6666666666666665
TM Dilshan,LJ Wright,-21.0,21.0
TM Dilshan,M Kartik,8.0,-8.0
TM Dilshan,M Muralitharan,-5.0,5.0
TM Dilshan,MC Henriques,11.0,-11.0
TM Dilshan,MG Johnson,-8.5,8.5
TM Dilshan,MK Tiwary,1.0,-1.0
TM Dilshan,MM Patel,1.5714285714285714,-1.5714285714285714
TM Dilshan,MS Gony,7.5,-7.5
TM Dilshan,Mitchell Marsh,5.5,-5.5
TM Dilshan,P Kumar,16.0,-16.0
TM Dilshan,P Parameswaran,2.0,-2.0
TM Dilshan,PP Chawla,-2.0,2.0
TM Dilshan,PP Ojha,1.75,-1.75
TM Dilshan,Pankaj Singh,20.0,-20.0
TM Dilshan,R Bhatia,3.0,-3.0
TM Dilshan,R McLaren,-27.0,27.0
TM Dilshan,R Sharma,-1.0,1.0
TM Dilshan,R Vinay Kumar,15.5,-15.5
TM Dilshan,RJ Harris,9.0,-9.0
TM Dilshan,RP Singh,1.5,-1.5
TM Dilshan,RR Powar,27.5,-27.5
TM Dilshan,RR Raje,16.0,-16.0
TM Dilshan,Ravichandran Ashwin,1.5,-1.5
TM Dilshan,Ravindra Jadeja,13.0,-13.0
TM Dilshan,Rohit Sharma,6.5,-6.5
TM Dilshan,S Dhawan,18.0,-18.0
TM Dilshan,S Sreesanth,-13.25,13.25
TM Dilshan,S Tyagi,14.0,-14.0
TM Dilshan,SB Jakati,-21.0,21.0
TM Dilshan,SC Ganguly,10.0,-10.0
TM Dilshan,SK Trivedi,19.2,-19.2
TM Dilshan,SK Warne,-5.25,5.25
TM Dilshan,SL Malinga,7.285714285714286,-7.285714285714286
TM Dilshan,SR Watson,-0.25,0.25
TM Dilshan,ST Jayasuriya,2.0,-2.0
TM Dilshan,SW Tait,10.0,-10.0
TM Dilshan,Shakib Al Hasan,11.0,-11.0
TM Dilshan,Shoaib Ahmed,25.0,-25.0
TM Dilshan,Shoaib Akhtar,8.0,-8.0
TM Dilshan,V Pratap Singh,6.0,-6.0
TM Dilshan,VR Aaron,-27.0,27.0
TM Dilshan,VRV Singh,12.0,-12.0
TM Dilshan,WPUJC Vaas,9.5,-9.5
TM Dilshan,Y Venugopal Rao,21.0,-21.0
TM Dilshan,YK Pathan,-1.3333333333333333,1.3333333333333333
TM Dilshan,Z Khan,11.0,-11.0
TM Srivastava,GD McGrath,2.0,-2.0
TM Srivastava,P Kumar,-2.0,2.0
TM Srivastava,Umar Gul,1.0,-1.0
TM Srivastava,VY Mahesh,-20.0,20.0
TR Birt,A Mishra,2.0,-2.0
TR Birt,B Akhil,1.0,-1.0
TR Birt,DT Christian,-23.0,23.0
TR Birt,Iqbal Abdulla,6.0,-6.0
TR Birt,P Kumar,-13.0,13.0
TR Birt,P Parameswaran,17.0,-17.0
TR Birt,PP Chawla,8.0,-8.0
TR Birt,R Vinay Kumar,11.5,-11.5
TR Birt,RJ Harris,10.0,-10.0
TR Birt,RR Powar,-24.0,24.0
TR Birt,Ravindra Jadeja,4.0,-4.0
TR Birt,S Sreesanth,10.0,-10.0
TR Birt,YK Pathan,-23.0,23.0
TS Mills,Bhuvneshwar Kumar,-13.0,13.0
TS Mills,C de Grandhomme,-24.0,24.0
TS Mills,CH Morris,-27.0,27.0
TS Mills,CR Woakes,1.0,-1.0
TS Mills,Dushmantha Chameera,-2.0,2.0
TS Mills,OF Smith,-27.0,27.0
Tanush Kotian,Arshdeep Singh,18.0,-18.0
Tanush Kotian,Harshal Patel,5.0,-5.0
Tanush Kotian,Kagiso Rabada,10.0,-10.0
Tanush Kotian,Liam Livingstone,-24.0,24.0
Tanush Kotian,Sam Curran,2.0,-2.0
Tilak Varma,AS Joseph,3.0,-3.0
Tilak Varma,Akash Deep,10.333333333333334,-10.333333333333334
Tilak Varma,Andre Russell,5.5,-5.5
Tilak Varma,Anrich Nortje,-4.5,4.5
Tilak Varma,Arshdeep Singh,10.0,-10.0
Tilak Varma,Avesh Khan,12.666666666666666,-12.666666666666666
Tilak Varma,Axar Patel,7.5,-7.5
Tilak Varma,Ayush Badoni,2.0,-2.0
Tilak Varma,Bhuvneshwar Kumar,-3.6666666666666665,3.6666666666666665
Tilak Varma,D Pretorius,9.5,-9.5
Tilak Varma,DJ Bravo,12.5,-12.5
Tilak Varma,DJ Mitchell,13.0,-13.0
Tilak Varma,Dushmantha Chameera,-2.0,2.0
Tilak Varma,Fazalhaq Farooqi,11.0,-11.0
Tilak Varma,Glenn Maxwell,22.0,-22.0
Tilak Varma,Hardik Pandya,13.0,-13.0
Tilak Varma,Harpreet Brar,4.0,-4.0
Tilak Varma,Harshal Patel,27.5,-27.5
Tilak Varma,Harshit Rana,4.0,-4.0
Tilak Varma,JA Richardson,9.0,-9.0
Tilak Varma,JO Holder,-5.666666666666667,5.666666666666667
Tilak Varma,Jaydev Unadkat,9.0,-9.0
Tilak Varma,KR Sen,5.5,-5.5
Tilak Varma,Kagiso Rabada,15.0,-15.0
Tilak Varma,Kamlesh Nagarkoti,17.0,-17.0
Tilak Varma,Karn Sharma,7.0,-7.0
Tilak Varma,Khaleel Ahmed,-7.75,7.75
Tilak Varma,Krunal Pandya,5.0,-5.0
Tilak Varma,Kuldeep Yadav,19.0,-19.0
Tilak Varma,LB Williams,9.0,-9.0
Tilak Varma,Lalit Yadav,5.5,-5.5
Tilak Varma,Liam Livingstone,18.0,-18.0
Tilak Varma,Lockie Ferguson,-8.0,8.0
Tilak Varma,MG Bracewell,12.0,-12.0
Tilak Varma,Maheesh Theekshana,17.0,-17.0
Tilak Varma,Marco Jansen,13.5,-13.5
Tilak Varma,Marcus Stoinis,7.5,-7.5
Tilak Varma,Matheesha Pathirana,-7.0,7.0
Tilak Varma,Mayank Markande,31.5,-31.5
Tilak Varma,Mitchell Santner,10.0,-10.0
Tilak Varma,Moeen Ali,3.0,-3.0
Tilak Varma,Mohammed Shami,63.0,-63.0
Tilak Varma,Mohammed Siraj,14.0,-14.0
Tilak Varma,Mohit Sharma,13.0,-13.0
Tilak Varma,Mohsin Khan,3.0,-3.0
Tilak Varma,Mukesh Choudhary,8.5,-8.5
Tilak Varma,Mukesh Kumar,-1.5,1.5
Tilak Varma,Mustafizur Rahman,1.0,-1.0
Tilak Varma,Nathan Ellis,2.0,-2.0
Tilak Varma,Navdeep Saini,22.0,-22.0
Tilak Varma,Naveen-ul-Haq,-18.5,18.5
Tilak Varma,Nitish Kumar Reddy,18.0,-18.0
Tilak Varma,OF Smith,15.0,-15.0
Tilak Varma,PJ Sangwan,12.0,-12.0
Tilak Varma,Pat Cummins,7.25,-7.25
Tilak Varma,Prasidh Krishna,-14.5,14.5
Tilak Varma,Rahul Chahar,3.0,-3.0
Tilak Varma,Rashid Khan,-6.75,6.75
Tilak Varma,Rasikh Salam,5.0,-5.0
Tilak Varma,Ravi Bishnoi,20.0,-20.0
Tilak Varma,Ravichandran Ashwin,8.0,-8.0
Tilak Varma,Ravindra Jadeja,9.666666666666666,-9.666666666666666
Tilak Varma,Riyan Parag,13.0,-13.0
Tilak Varma,SN Thakur,2.0,-2.0
Tilak Varma,Sai Kishore,4.0,-4.0
Tilak Varma,Sam Curran,2.5,-2.5
Tilak Varma,Sandeep Sharma,-5.5,5.5
Tilak Varma,Shahbaz Ahmed,21.5,-21.5
Tilak Varma,Simarjeet Singh,10.0,-10.0
Tilak Varma,Spencer Johnson,-13.0,13.0
Tilak Varma,Sunil Narine,4.25,-4.25
Tilak Varma,Suyash Sharma,-16.0,16.0
Tilak Varma,T Natarajan,19.0,-19.0
Tilak Varma,Trent Boult,10.0,-10.0
Tilak Varma,Tushar Deshpande,10.0,-10.0
Tilak Varma,UT Yadav,2.0,-2.0
Tilak Varma,Umran Malik,-7.0,7.0
Tilak Varma,Vaibhav Arora,23.0,-23.0
Tilak Varma,Varun Chakravarthy,6.25,-6.25
Tilak Varma,Vijaykumar Vyshak,9.0,-9.0
Tilak Varma,Washington Sundar,1.0,-1.0
Tilak Varma,Yash Thakur,3.0,-3.0
Tilak Varma,Yuzvendra Chahal,17.0,-17.0
Tim David,AS Joseph,14.0,-14.0
Tim David,Andre Russell,1.3333333333333333,-1.3333333333333333
Tim David,Anrich Nortje,12.0,-12.0
Tim David,Arshdeep Singh,12.0,-12.0
Tim David,Avesh Khan,4.5,-4.5
Tim David,Axar Patel,2.0,-2.0
Tim David,Bhuvneshwar Kumar,17.333333333333332,-17.333333333333332
Tim David,D Pretorius,4.0,-4.0
Tim David,DJ Bravo,1.0,-1.0
Tim David,Deepak Chahar,-27.0,27.0
Tim David,Harshal Patel,-12.5,12.5
Tim David,Ishant Sharma,23.0,-23.0
Tim David,JA Richardson,16.0,-16.0
Tim David,JO Holder,53.0,-53.0
Tim David,Jaydev Unadkat,24.0,-24.0
Tim David,KR Sen,18.0,-18.0
Tim David,Karn Sharma,-23.0,23.0
Tim David,Khaleel Ahmed,6.5,-6.5
Tim David,Krunal Pandya,2.0,-2.0
Tim David,Kuldeep Yadav,1.0,-1.0
Tim David,LB Williams,11.0,-11.0
Tim David,Lockie Ferguson,7.0,-7.0
Tim David,Maheesh Theekshana,2.0,-2.0
Tim David,Matheesha Pathirana,1.0,-1.0
Tim David,Mayank Markande,1.0,-1.0
Tim David,Mitchell Santner,5.0,-5.0
Tim David,Mitchell Starc,-11.0,11.0
Tim David,Moeen Ali,26.0,-26.0
Tim David,Mohammed Shami,50.0,-50.0
Tim David,Mohit Sharma,-5.5,5.5
Tim David,Mohsin Khan,32.0,-32.0
Tim David,Mukesh Kumar,7.0,-7.0
Tim David,Mustafizur Rahman,6.0,-6.0
Tim David,N Burger,-27.0,27.0
Tim David,Nathan Ellis,15.5,-15.5
Tim David,Naveen-ul-Haq,11.0,-11.0
Tim David,Noor Ahmad,-27.0,27.0
Tim David,Pat Cummins,8.0,-8.0
Tim David,Prasidh Krishna,2.0,-2.0
Tim David,Rashid Khan,-8.75,8.75
Tim David,Rasikh Salam,4.0,-4.0
Tim David,Ravi Bishnoi,4.0,-4.0
Tim David,Ravichandran Ashwin,2.5,-2.5
Tim David,Ravindra Jadeja,3.0,-3.0
Tim David,SN Thakur,12.0,-12.0
Tim David,SSB Magala,2.0,-2.0
Tim David,Sam Curran,13.666666666666666,-13.666666666666666
Tim David,Sandeep Sharma,-2.5,2.5
Tim David,Sunil Narine,1.3333333333333333,-1.3333333333333333
Tim David,Suyash Sharma,1.0,-1.0
Tim David,T Natarajan,33.0,-33.0
Tim David,Trent Boult,11.0,-11.0
Tim David,Tushar Deshpande,-5.0,5.0
Tim David,Umran Malik,2.0,-2.0
Tim David,Vaibhav Arora,1.0,-1.0
Tim David,Varun Chakravarthy,2.0,-2.0
Tim David,Vijaykumar Vyshak,-27.0,27.0
Tim David,Yash Thakur,-2.0,2.0
Tim David,Yuzvendra Chahal,-4.0,4.0
Travis Head,A Nehra,2.0,-2.0
Travis Head,AB Dinda,1.0,-1.0
Travis Head,AJ Tye,-13.0,13.0
Travis Head,AS Rajpoot,26.0,-26.0
Travis Head,Adam Zampa,1.0,-1.0
Travis Head,Anrich Nortje,44.0,-44.0
Travis Head,Anshul Kamboj,42.0,-42.0
Travis Head,Arshdeep Singh,-25.5,25.5
Travis Head,Avesh Khan,9.0,-9.0
Travis Head,Axar Patel,3.0,-3.0
Travis Head,Ayush Badoni,14.0,-14.0
Travis Head,Azmatullah Omarzai,19.0,-19.0
Travis Head,BCJ Cutting,2.0,-2.0
Travis Head,Basil Thampi,23.0,-23.0
Travis Head,C de Grandhomme,5.0,-5.0
Travis Head,CR Woakes,18.0,-18.0
Travis Head,DS Kulkarni,1.0,-1.0
Travis Head,Deepak Chahar,12.333333333333334,-12.333333333333334
Travis Head,Deepak Hooda,1.0,-1.0
Travis Head,Gerald Coetzee,5.0,-5.0
Travis Head,Hardik Pandya,19.666666666666668,-19.666666666666668
Travis Head,Jasprit Bumrah,0.5,-0.5
Travis Head,Jaydev Unadkat,-27.0,27.0
Travis Head,K Gowtham,56.0,-56.0
Travis Head,Kagiso Rabada,36.0,-36.0
Travis Head,Karn Sharma,2.0,-2.0
Travis Head,Khaleel Ahmed,29.0,-29.0
Travis Head,Krunal Pandya,-5.5,5.5
Travis Head,Kuldeep Yadav,-22.0,22.0
Travis Head,Kwena Maphaka,53.0,-53.0
Travis Head,Lalit Yadav,46.0,-46.0
Travis Head,Lockie Ferguson,21.0,-21.0
Travis Head,MC Henriques,14.0,-14.0
Travis Head,MJ McClenaghan,27.0,-27.0
Travis Head,Maheesh Theekshana,-20.0,20.0
Travis Head,Mitchell Starc,-27.0,27.0
Travis Head,Mohit Sharma,1.0,-1.0
Travis Head,Mukesh Kumar,44.0,-44.0
Travis Head,Naveen-ul-Haq,63.0,-63.0
Travis Head,Noor Ahmad,-24.0,24.0
Travis Head,Nuwan Thushara,17.0,-17.0
Travis Head,PP Chawla,-4.666666666666667,4.666666666666667
Travis Head,RP Singh,3.0,-3.0
Travis Head,Rashid Khan,0.0,0.0
Travis Head,Ravi Bishnoi,41.0,-41.0
Travis Head,Ravichandran Ashwin,3.0,-3.0
Travis Head,Ravindra Jadeja,4.5,-4.5
Travis Head,Reece Topley,39.0,-39.0
Travis Head,S Kaushik,13.0,-13.0
Travis Head,S Nadeem,2.0,-2.0
Travis Head,SL Malinga,1.0,-1.0
Travis Head,Sandeep Sharma,-4.333333333333333,4.333333333333333
Travis Head,Sunil Narine,19.0,-19.0
Travis Head,TG Southee,-2.0,2.0
Travis Head,Trent Boult,16.0,-16.0
Travis Head,Tushar Deshpande,2.0,-2.0
Travis Head,UT Yadav,25.0,-25.0
Travis Head,Vaibhav Arora,-27.0,27.0
Travis Head,Vijaykumar Vyshak,29.0,-29.0
Travis Head,Will Jacks,5.5,-5.5
Travis Head,Yash Dayal,37.0,-37.0
Travis Head,Yash Thakur,3.0,-3.0
Travis Head,Yuzvendra Chahal,23.0,-23.0
Trent Boult,Anrich Nortje,2.0,-2.0
Trent Boult,Arshad Khan,-2.0,2.0
Trent Boult,Avesh Khan,2.0,-2.0
Trent Boult,DJ Bravo,1.0,-1.0
Trent Boult,Deepak Chahar,-27.0,27.0
Trent Boult,Hardik Pandya,3.0,-3.0
Trent Boult,Harshal Patel,-24.0,24.0
Trent Boult,JO Holder,2.0,-2.0
Trent Boult,Kuldeep Yadav,-27.0,27.0
Trent Boult,Lockie Ferguson,3.0,-3.0
Trent Boult,Mohammed Shami,-13.0,13.0
Trent Boult,Mohammed Siraj,4.0,-4.0
Trent Boult,Mohsin Khan,21.0,-21.0
Trent Boult,Mukesh Kumar,1.0,-1.0
Trent Boult,Nathan Ellis,16.0,-16.0
Trent Boult,Noor Ahmad,23.0,-23.0
Trent Boult,PWH de Silva,1.0,-1.0
Trent Boult,Pat Cummins,-2.0,2.0
Trent Boult,RP Meredith,1.0,-1.0
Trent Boult,Rahul Chahar,1.0,-1.0
Trent Boult,Rashid Khan,1.0,-1.0
Trent Boult,Rasikh Salam,1.0,-1.0
Trent Boult,Ravi Bishnoi,1.0,-1.0
Trent Boult,Ravindra Jadeja,-13.0,13.0
Trent Boult,SN Thakur,1.0,-1.0
Trent Boult,Sai Kishore,-11.0,11.0
Trent Boult,Sam Curran,-2.0,2.0
Trent Boult,Sunil Narine,-2.0,2.0
Trent Boult,T Natarajan,-2.0,2.0
Trent Boult,TG Southee,2.0,-2.0
Trent Boult,TS Mills,1.0,-1.0
Trent Boult,Yuzvendra Chahal,-2.0,2.0
Tristan Stubbs,Akash Madhwal,31.0,-31.0
Tristan Stubbs,Andre Russell,1.0,-1.0
Tristan Stubbs,Arshad Khan,20.0,-20.0
Tristan Stubbs,Arshdeep Singh,1.0,-1.0
Tristan Stubbs,Avesh Khan,5.0,-5.0
Tristan Stubbs,Bhuvneshwar Kumar,1.0,-1.0
Tristan Stubbs,C Green,2.0,-2.0
Tristan Stubbs,D Pretorius,1.0,-1.0
Tristan Stubbs,Gerald Coetzee,13.0,-13.0
Tristan Stubbs,Harpreet Brar,1.0,-1.0
Tristan Stubbs,Harshal Patel,-2.0,2.0
Tristan Stubbs,Jasprit Bumrah,3.5,-3.5
Tristan Stubbs,Krunal Pandya,3.0,-3.0
Tristan Stubbs,L Wood,57.0,-57.0
Tristan Stubbs,Lockie Ferguson,1.0,-1.0
Tristan Stubbs,Maheesh Theekshana,10.0,-10.0
Tristan Stubbs,Matheesha Pathirana,-23.5,23.5
Tristan Stubbs,Mayank Markande,2.0,-2.0
Tristan Stubbs,Mitchell Santner,2.0,-2.0
Tristan Stubbs,Mitchell Starc,1.0,-1.0
Tristan Stubbs,Mohit Sharma,9.0,-9.0
Tristan Stubbs,Mohsin Khan,15.0,-15.0
Tristan Stubbs,Mukesh Choudhary,-27.0,27.0
Tristan Stubbs,Naveen-ul-Haq,23.5,-23.5
Tristan Stubbs,Nitish Kumar Reddy,-27.0,27.0
Tristan Stubbs,Nuwan Thushara,25.0,-25.0
Tristan Stubbs,PP Chawla,15.0,-15.0
Tristan Stubbs,Pat Cummins,1.0,-1.0
Tristan Stubbs,Rahul Chahar,-22.0,22.0
Tristan Stubbs,Ravi Bishnoi,1.0,-1.0
Tristan Stubbs,Ravichandran Ashwin,16.0,-16.0
Tristan Stubbs,Ravindra Jadeja,2.0,-2.0
Tristan Stubbs,Romario Shepherd,54.0,-54.0
Tristan Stubbs,SSB Magala,-23.0,23.0
Tristan Stubbs,Sai Kishore,41.0,-41.0
Tristan Stubbs,Sandeep Sharma,17.5,-17.5
Tristan Stubbs,Shahbaz Ahmed,3.0,-3.0
Tristan Stubbs,Sunil Narine,16.0,-16.0
Tristan Stubbs,T Natarajan,2.0,-2.0
Tristan Stubbs,Trent Boult,9.0,-9.0
Tristan Stubbs,Tushar Deshpande,11.0,-11.0
Tristan Stubbs,Vaibhav Arora,17.0,-17.0
Tristan Stubbs,Varun Chakravarthy,0.5,-0.5
Tristan Stubbs,Yash Thakur,3.0,-3.0
Tristan Stubbs,Yudhvir Singh,5.0,-5.0
Tristan Stubbs,Yuzvendra Chahal,17.5,-17.5
Tushar Deshpande,Harshal Patel,-2.0,2.0
Tushar Deshpande,JO Holder,23.0,-23.0
Tushar Deshpande,Lockie Ferguson,-24.0,24.0
Tushar Deshpande,Mitchell Marsh,-2.0,2.0
Tushar Deshpande,Pat Cummins,-2.0,2.0
Tushar Deshpande,Sandeep Sharma,2.0,-2.0
Tushar Deshpande,T Natarajan,9.0,-9.0
U Kaul,L Balaji,-2.0,2.0
UA Birla,Iqbal Abdulla,-27.0,27.0
UA Birla,JH Kallis,1.0,-1.0
UA Birla,L Balaji,2.0,-2.0
UA Birla,Sunil Narine,8.0,-8.0
UBT Chand,A Mishra,-2.5,2.5
UBT Chand,A Singh,-2.0,2.0
UBT Chand,AB Dinda,9.0,-9.0
UBT Chand,AN Ahmed,1.0,-1.0
UBT Chand,Ankit Sharma,10.0,-10.0
UBT Chand,Azhar Mahmood,-11.0,11.0
UBT Chand,B Lee,-24.0,24.0
UBT Chand,Bhuvneshwar Kumar,-2.0,2.0
UBT Chand,CH Gayle,1.0,-1.0
UBT Chand,D Wiese,36.0,-36.0
UBT Chand,DJ Muthuswami,2.0,-2.0
UBT Chand,DJG Sammy,1.0,-1.0
UBT Chand,DS Kulkarni,-0.5,0.5
UBT Chand,DW Steyn,-4.5,4.5
UBT Chand,Deepak Hooda,2.0,-2.0
UBT Chand,Harbhajan Singh,-27.0,27.0
UBT Chand,Iqbal Abdulla,33.0,-33.0
UBT Chand,Ishant Sharma,9.0,-9.0
UBT Chand,J Syed Mohammad,10.0,-10.0
UBT Chand,JH Kallis,28.0,-28.0
UBT Chand,JO Holder,1.0,-1.0
UBT Chand,JP Faulkner,-2.0,2.0
UBT Chand,Jasprit Bumrah,1.0,-1.0
UBT Chand,Jaydev Unadkat,-15.0,15.0
UBT Chand,K Santokie,1.0,-1.0
UBT Chand,Karn Sharma,1.0,-1.0
UBT Chand,L Balaji,6.0,-6.0
UBT Chand,LJ Wright,2.0,-2.0
UBT Chand,M Kartik,16.0,-16.0
UBT Chand,MC Henriques,13.0,-13.0
UBT Chand,Mohit Sharma,-11.5,11.5
UBT Chand,NLTC Perera,8.0,-8.0
UBT Chand,P Awana,12.0,-12.0
UBT Chand,P Kumar,-7.666666666666667,7.666666666666667
UBT Chand,PP Chawla,1.0,-1.0
UBT Chand,PP Ojha,-27.0,27.0
UBT Chand,PV Tambe,-20.0,20.0
UBT Chand,R Bhatia,11.0,-11.0
UBT Chand,R Rampaul,1.0,-1.0
UBT Chand,R Sharma,-14.0,14.0
UBT Chand,R Vinay Kumar,0.0,0.0
UBT Chand,RJ Harris,1.0,-1.0
UBT Chand,S Badree,20.0,-20.0
UBT Chand,S Nadeem,2.0,-2.0
UBT Chand,S Sreesanth,-8.0,8.0
UBT Chand,SK Trivedi,2.0,-2.0
UBT Chand,SK Warne,-27.0,27.0
UBT Chand,SL Malinga,-27.0,27.0
UBT Chand,SR Watson,4.0,-4.0
UBT Chand,STR Binny,3.0,-3.0
UBT Chand,SW Tait,-2.0,2.0
UBT Chand,Sandeep Sharma,-2.0,2.0
UBT Chand,Sunil Narine,4.0,-4.0
UBT Chand,TG Southee,-9.5,9.5
UBT Chand,TM Dilshan,1.0,-1.0
UBT Chand,VR Aaron,-2.0,2.0
UBT Chand,Yuvraj Singh,3.0,-3.0
UBT Chand,Yuzvendra Chahal,7.0,-7.0
UBT Chand,Z Khan,18.0,-18.0
UT Khawaja,A Mishra,-24.0,24.0
UT Khawaja,A Nehra,-8.0,8.0
UT Khawaja,Andre Russell,14.0,-14.0
UT Khawaja,Axar Patel,2.0,-2.0
UT Khawaja,Bhuvneshwar Kumar,2.0,-2.0
UT Khawaja,CH Morris,-27.0,27.0
UT Khawaja,CR Brathwaite,10.0,-10.0
UT Khawaja,Gurkeerat Singh,-20.0,20.0
UT Khawaja,J Yadav,21.0,-21.0
UT Khawaja,KJ Abbott,2.0,-2.0
UT Khawaja,M Morkel,18.0,-18.0
UT Khawaja,Mohammed Shami,12.0,-12.0
UT Khawaja,Mohit Sharma,16.0,-16.0
UT Khawaja,NM Coulter-Nile,9.0,-9.0
UT Khawaja,Parvez Rasool,22.0,-22.0
UT Khawaja,R Dhawan,11.0,-11.0
UT Khawaja,STR Binny,8.0,-8.0
UT Khawaja,Sandeep Sharma,4.0,-4.0
UT Khawaja,Shakib Al Hasan,-24.0,24.0
UT Khawaja,Z Khan,26.0,-26.0
UT Yadav,A Nehra,-27.0,27.0
UT Yadav,A Symonds,1.0,-1.0
UT Yadav,AB Dinda,2.0,-2.0
UT Yadav,AD Mathews,4.0,-4.0
UT Yadav,AS Joseph,2.0,-2.0
UT Yadav,Akash Deep,-5.0,5.0
UT Yadav,Anrich Nortje,-23.0,23.0
UT Yadav,B Laughlin,-27.0,27.0
UT Yadav,BA Stokes,2.0,-2.0
UT Yadav,Bhuvneshwar Kumar,2.0,-2.0
UT Yadav,CH Morris,1.5,-1.5
UT Yadav,DJ Bravo,-12.5,12.5
UT Yadav,DJ Willey,1.0,-1.0
UT Yadav,DW Steyn,1.5,-1.5
UT Yadav,Harbhajan Singh,-27.0,27.0
UT Yadav,Hardik Pandya,3.0,-3.0
UT Yadav,Harshal Patel,2.0,-2.0
UT Yadav,Imran Tahir,1.0,-1.0
UT Yadav,J Little,1.0,-1.0
UT Yadav,J Suchith,1.0,-1.0
UT Yadav,JA Morkel,5.0,-5.0
UT Yadav,JP Faulkner,36.0,-36.0
UT Yadav,Jasprit Bumrah,-11.5,11.5
UT Yadav,Jaydev Unadkat,8.0,-8.0
UT Yadav,KA Pollard,9.0,-9.0
UT Yadav,Khaleel Ahmed,1.0,-1.0
UT Yadav,Kuldeep Yadav,-13.0,13.0
UT Yadav,L Balaji,1.0,-1.0
UT Yadav,Lockie Ferguson,13.0,-13.0
UT Yadav,Lungi Ngidi,-27.0,27.0
UT Yadav,MG Johnson,-27.0,27.0
UT Yadav,MJ McClenaghan,1.0,-1.0
UT Yadav,Maheesh Theekshana,-27.0,27.0
UT Yadav,Marcus Stoinis,-27.0,27.0
UT Yadav,Matheesha Pathirana,14.0,-14.0
UT Yadav,Mohammad Nabi,16.0,-16.0
UT Yadav,Mohammed Shami,1.5,-1.5
UT Yadav,Mohammed Siraj,9.5,-9.5
UT Yadav,Mohit Sharma,2.0,-2.0
UT Yadav,Mustafizur Rahman,0.0,0.0
UT Yadav,NLTC Perera,10.5,-10.5
UT Yadav,Naveen-ul-Haq,-23.0,23.0
UT Yadav,OC McCoy,-27.0,27.0
UT Yadav,P Parameswaran,-27.0,27.0
UT Yadav,PWH de Silva,1.0,-1.0
UT Yadav,Prasidh Krishna,2.0,-2.0
UT Yadav,Rashid Khan,4.5,-4.5
UT Yadav,Ravi Bishnoi,-27.0,27.0
UT Yadav,Ravichandran Ashwin,-27.0,27.0
UT Yadav,Ravindra Jadeja,-27.0,27.0
UT Yadav,SB Jakati,1.0,-1.0
UT Yadav,SL Malinga,-1.0,1.0
UT Yadav,SR Watson,8.0,-8.0
UT Yadav,Sandeep Sharma,8.0,-8.0
UT Yadav,Sunil Narine,1.0,-1.0
UT Yadav,TG Southee,1.0,-1.0
UT Yadav,TS Mills,2.0,-2.0
UT Yadav,Trent Boult,35.0,-35.0
UT Yadav,Tushar Deshpande,4.0,-4.0
UT Yadav,Umran Malik,1.0,-1.0
UT Yadav,Vijay Shankar,9.0,-9.0
UT Yadav,WPUJC Vaas,2.0,-2.0
UT Yadav,Yash Dayal,1.0,-1.0
UT Yadav,Yash Thakur,-2.0,2.0
UT Yadav,Z Khan,-24.0,24.0
Umar Gul,JR Hopes,24.0,-24.0
Umar Gul,P Kumar,12.0,-12.0
Umar Gul,PP Chawla,1.0,-1.0
Umar Gul,S Sreesanth,21.0,-21.0
Umar Gul,SK Trivedi,1.0,-1.0
Umar Gul,SR Watson,1.0,-1.0
Umar Gul,Sohail Tanvir,-18.5,18.5
Umar Gul,VRV Singh,-27.0,27.0
Umran Malik,Andre Russell,-2.0,2.0
Umran Malik,JO Holder,1.0,-1.0
Umran Malik,NA Saini,13.0,-13.0
Umran Malik,Nathan Ellis,-2.0,2.0
Umran Malik,PWH de Silva,-27.0,27.0
Umran Malik,TG Southee,3.0,-3.0
Umran Malik,Trent Boult,22.0,-22.0
Umran Malik,Yuzvendra Chahal,-2.0,2.0
V Pratap Singh,SL Malinga,-27.0,27.0
V Sehwag,A Kumble,29.0,-29.0
V Sehwag,A Mishra,21.0,-21.0
V Sehwag,A Mithun,-13.0,13.0
V Sehwag,A Nehra,7.333333333333333,-7.333333333333333
V Sehwag,A Singh,11.333333333333334,-11.333333333333334
V Sehwag,A Symonds,26.0,-26.0
V Sehwag,A Uniyal,33.0,-33.0
V Sehwag,AA Chavan,29.0,-29.0
V Sehwag,AB Agarkar,4.0,-4.0
V Sehwag,AB Dinda,-0.3333333333333333,0.3333333333333333
V Sehwag,AB McDonald,-27.0,27.0
V Sehwag,AC Thomas,3.3333333333333335,-3.3333333333333335
V Sehwag,AC Voges,16.0,-16.0
V Sehwag,AD Mascarenhas,20.666666666666668,-20.666666666666668
V Sehwag,AD Mathews,21.666666666666668,-21.666666666666668
V Sehwag,AG Murtaza,-14.0,14.0
V Sehwag,AM Nayar,13.0,-13.0
V Sehwag,Andre Russell,-17.0,17.0
V Sehwag,Azhar Mahmood,4.0,-4.0
V Sehwag,B Akhil,30.0,-30.0
V Sehwag,B Chipli,36.0,-36.0
V Sehwag,B Lee,4.166666666666667,-4.166666666666667
V Sehwag,BAW Mendis,9.0,-9.0
V Sehwag,BW Hilfenhaus,-5.666666666666667,5.666666666666667
V Sehwag,Bhuvneshwar Kumar,6.5,-6.5
